Cycles,935
NONE,0
Instructions Retired,588
LSU Busy,150
Fetch Wait,57
Loads,71
Stores,79
Jumps,105
Conditional Branches,57
Taken Conditional Branches,31
Compressed Instructions,456
Multiply Wait,0
Divide Wait,0
